loan_id,applicant_age,gender,marital_status,employee_status,residence_type,loan_purpose,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_interest,loan_percent_income,active_loans,loan_status
20,61,Women,Single,self employed,RENT,Home Renovation,9100000,31500000,14,679,10800000,16600000,20900000,5000000,4.2,11,4,Approved
21,28,Women,Single,self employed,MORTGAGE,Medical,1900000,7400000,6,469,1900000,1200000,5900000,1900000,9.28,0,4,Rejected
22,80,Women,Married,self employed,MORTGAGE,Personal,4700000,10700000,10,794,5700000,3900000,16400000,4400000,9.92,4,1,Approved
23,69,Men,Single,student,OWN,Medical,500000,1600000,4,663,1300000,100000,1300000,700000,4.04,16,5,Approved
24,57,Men,Married,employed,RENT,Vehicle,2900000,9400000,14,780,2900000,2800000,6700000,4300000,7.76,8,4,Approved
25,46,Men,Single,self employed,OWN,Education,2700000,10300000,10,736,1000000,0,6200000,3300000,4.08,4,4,Approved
26,66,Men,Single,self employed,OWN,Home Renovation,6300000,14600000,12,652,10300000,3500000,23500000,5900000,6.74,11,1,Approved
27,62,Women,Married,employed,MORTGAGE,Education,5000000,19400000,12,315,9500000,1600000,18000000,6100000,4.73,17,3,Rejected
28,62,Women,Married,employed,MORTGAGE,Education,5000000,19400000,12,315,9500000,1600000,18000000,6100000,4.73,17,3,Rejected
29,67,Men,Married,employed,RENT,Business,500000,1400000,2,551,900000,600000,1100000,300000,8.78,13,2,Approved
30,64,Women,Married,self employed,OWN,Vehicle,4900000,9800000,16,324,3800000,8700000,10000000,3300000,7.4,19,3,Rejected
31,64,Women,Married,self employed,OWN,Vehicle,4900000,9800000,16,324,3800000,8700000,10000000,3300000,7.4,19,3,Rejected
32,77,Women,Married,student,RENT,Medical,3100000,9500000,20,514,7900000,3100000,6600000,2600000,0.82,11,2,Rejected
33,77,Women,Married,student,RENT,Medical,3100000,9500000,20,514,7900000,3100000,6600000,2600000,0.82,11,2,Rejected
34,77,Women,Married,student,RENT,Medical,3100000,9500000,20,514,7900000,3100000,6600000,2600000,0.82,11,2,Rejected
35,35,Men,Married,student,MORTGAGE,Business,8200000,28100000,12,696,11500000,10600000,25300000,7200000,8.17,15,2,Approved
36,63,Men,Single,employed,MORTGAGE,Personal,2400000,5600000,4,662,4500000,4200000,5400000,2500000,3.92,12,2,Approved
37,47,Women,Married,student,RENT,Education,7000000,24000000,6,336,2300000,11900000,27500000,9700000,6.06,3,1,Rejected
38,43,Men,Single,self employed,OWN,Home Renovation,9000000,31500000,10,850,21800000,12400000,33700000,8000000,9.96,11,3,Approved
39,28,Women,Married,self employed,MORTGAGE,Education,800000,1600000,10,436,700000,200000,2200000,1000000,9.94,0,5,Rejected
40,28,Women,Married,self employed,MORTGAGE,Education,800000,1600000,10,436,700000,200000,2200000,1000000,9.94,0,5,Rejected
41,28,Women,Married,self employed,MORTGAGE,Education,800000,1600000,10,436,700000,200000,2200000,1000000,9.94,0,5,Rejected
42,50,Women,Single,student,RENT,Vehicle,8400000,22000000,2,830,3800000,3900000,19900000,5400000,0.89,17,1,Approved
43,74,Men,Married,employed,MORTGAGE,Business,4900000,11900000,8,612,9700000,1200000,19000000,5800000,2.21,15,5,Approved
44,47,Women,Married,self employed,MORTGAGE,Education,1700000,3400000,8,691,2700000,2800000,6000000,900000,6.83,16,1,Approved
45,79,Men,Single,self employed,MORTGAGE,Education,1600000,6200000,18,636,3400000,700000,5300000,1400000,1.56,5,2,Approved
46,41,Women,Married,employed,MORTGAGE,Medical,3600000,7700000,16,830,7000000,1300000,10000000,2900000,5.34,0,1,Approved
47,49,Men,Married,student,MORTGAGE,Education,7800000,18100000,2,712,8600000,11200000,21700000,9000000,1.02,20,2,Approved
48,67,Women,Single,student,MORTGAGE,Business,9100000,24900000,16,822,22300000,12100000,31000000,5200000,7.14,8,3,Approved
49,76,Women,Married,student,MORTGAGE,Business,800000,2300000,12,342,2200000,1300000,1800000,800000,6.74,2,4,Rejected
50,59,Men,Single,employed,RENT,Education,6500000,13400000,18,787,18200000,300000,16200000,5400000,6.04,4,1,Approved
51,27,Women,Single,employed,OWN,Personal,8000000,27800000,16,331,13000000,6300000,21400000,10900000,3.99,8,4,Rejected
52,27,Women,Single,employed,OWN,Personal,8000000,27800000,16,331,13000000,6300000,21400000,10900000,3.99,8,4,Rejected
53,27,Women,Single,employed,OWN,Personal,8000000,27800000,16,331,13000000,6300000,21400000,10900000,3.99,8,4,Rejected
54,38,Men,Single,self employed,OWN,Home Renovation,4200000,14600000,6,679,2400000,6900000,8700000,4900000,7.36,12,1,Approved
55,55,Women,Single,student,OWN,Personal,4900000,19100000,14,677,5400000,9100000,17700000,6500000,9.57,17,4,Approved
56,33,Men,Single,student,OWN,Personal,5500000,20500000,12,634,800000,8600000,18500000,8200000,4.23,12,5,Approved
57,63,Men,Single,employed,MORTGAGE,Medical,9500000,19100000,16,662,100000,10500000,37700000,11700000,9.69,7,1,Approved
58,78,Men,Married,employed,RENT,Business,7300000,25400000,16,502,500000,1800000,20500000,10500000,6.29,3,2,Rejected
59,76,Women,Married,employed,MORTGAGE,Personal,8700000,24700000,10,435,6800000,3500000,21800000,11300000,3.85,1,2,Rejected
60,23,Women,Single,self employed,OWN,Personal,3800000,7600000,4,689,8700000,100000,9300000,3400000,7.01,7,2,Approved
61,54,Men,Single,self employed,OWN,Education,8400000,23000000,12,657,15400000,14800000,31900000,8200000,3.79,19,4,Approved
62,58,Men,Married,self employed,MORTGAGE,Business,5100000,19700000,20,590,7400000,9300000,19400000,3400000,0.24,4,4,Approved
63,54,Men,Married,self employed,OWN,Business,6700000,24500000,12,818,1200000,5600000,16300000,6200000,3.61,12,5,Approved
64,23,Men,Married,self employed,RENT,Personal,4300000,10600000,18,431,2100000,1500000,9300000,5200000,4.61,1,2,Rejected
65,80,Men,Single,self employed,OWN,Business,9300000,30500000,18,841,19300000,10300000,34600000,8700000,0.21,2,5,Approved
66,31,Men,Single,employed,MORTGAGE,Business,7400000,18400000,20,421,18500000,9100000,17500000,4100000,2.07,10,2,Rejected
67,72,Women,Single,student,OWN,Education,5500000,18200000,16,797,-100000,4900000,18600000,4800000,9.92,11,4,Approved
68,30,Women,Married,self employed,MORTGAGE,Vehicle,8500000,18900000,18,478,23800000,16300000,25900000,11400000,2.88,11,5,Rejected
69,30,Women,Married,self employed,MORTGAGE,Vehicle,8500000,18900000,18,478,23800000,16300000,25900000,11400000,2.88,11,5,Rejected
70,30,Women,Married,self employed,MORTGAGE,Vehicle,8500000,18900000,18,478,23800000,16300000,25900000,11400000,2.88,11,5,Rejected
71,38,Women,Single,employed,OWN,Vehicle,9600000,30500000,18,669,4700000,1900000,26500000,9300000,8.19,9,1,Approved
72,66,Men,Single,employed,MORTGAGE,Home Renovation,8800000,28900000,6,365,24400000,8600000,27400000,4700000,7.85,17,1,Rejected
73,66,Men,Single,employed,MORTGAGE,Home Renovation,8800000,28900000,6,365,24400000,8600000,27400000,4700000,7.85,17,1,Rejected
74,66,Men,Single,employed,MORTGAGE,Home Renovation,8800000,28900000,6,365,24400000,8600000,27400000,4700000,7.85,17,1,Rejected
75,60,Men,Married,self employed,OWN,Personal,3300000,7500000,20,586,1600000,5600000,10500000,2900000,4.27,16,1,Approved
76,70,Women,Married,employed,OWN,Medical,3900000,12300000,18,784,7600000,6900000,13100000,2800000,0.59,17,2,Approved
77,60,Women,Single,self employed,MORTGAGE,Home Renovation,8300000,29100000,10,715,6100000,11900000,24100000,11900000,2.65,14,3,Approved
78,31,Women,Married,student,RENT,Medical,2700000,10100000,20,693,200000,1700000,5900000,1400000,6.38,2,1,Rejected
79,72,Women,Single,self employed,MORTGAGE,Business,5600000,12400000,4,777,5500000,3100000,11800000,5500000,6.6,2,2,Approved
80,31,Men,Single,employed,OWN,Education,1900000,5000000,12,312,4000000,2800000,4900000,2400000,7.74,11,1,Rejected
81,20,Women,Single,employed,MORTGAGE,Medical,500000,1500000,20,340,100000,200000,1900000,600000,3.98,1,2,Rejected
82,70,Men,Married,student,RENT,Vehicle,5300000,18600000,4,386,2700000,9700000,11900000,4200000,5.23,14,2,Approved
83,21,Men,Married,student,OWN,Personal,5800000,16700000,16,735,3900000,9400000,12600000,5600000,7.6,4,3,Approved
84,36,Women,Single,employed,MORTGAGE,Business,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0.59,4,2,Rejected
85,36,Women,Single,employed,MORTGAGE,Business,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0.59,4,2,Rejected
86,36,Women,Single,employed,MORTGAGE,Business,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0.59,4,2,Rejected
87,36,Men,Single,student,RENT,Vehicle,1900000,6500000,18,671,600000,2500000,4800000,1100000,9.01,15,5,Approved
88,67,Men,Married,self employed,OWN,Personal,5700000,14800000,16,697,14300000,7800000,12900000,6300000,6.23,5,4,Approved
89,36,Women,Single,student,OWN,Education,9000000,33500000,8,801,11600000,8900000,35400000,11100000,6.92,2,3,Approved
90,24,Women,Married,self employed,OWN,Vehicle,8500000,29400000,12,576,17600000,5600000,25200000,9000000,7.21,10,3,Approved
91,46,Men,Single,student,OWN,Vehicle,700000,1400000,14,639,1900000,700000,2400000,900000,2.85,12,1,Approved
92,32,Men,Married,self employed,MORTGAGE,Education,8800000,31200000,4,826,2900000,500000,33300000,8600000,2.71,4,1,Approved
93,80,Men,Married,employed,OWN,Business,9900000,21200000,16,363,25500000,11400000,26600000,6800000,9.09,7,3,Rejected
94,80,Men,Married,employed,OWN,Business,9900000,21200000,16,363,25500000,11400000,26600000,6800000,9.09,7,3,Rejected
95,80,Men,Married,employed,OWN,Business,9900000,21200000,16,363,25500000,11400000,26600000,6800000,9.09,7,3,Rejected
96,52,Women,Married,employed,RENT,Home Renovation,3600000,8600000,20,613,9400000,300000,10300000,3300000,6.28,17,1,Approved
97,54,Women,Married,student,OWN,Vehicle,3000000,8200000,16,713,5300000,5800000,11000000,3400000,1.59,9,1,Approved
98,20,Men,Single,student,OWN,Home Renovation,6800000,21200000,16,439,17100000,4700000,23300000,3600000,9.17,3,5,Rejected
99,20,Men,Single,student,OWN,Home Renovation,6800000,21200000,16,439,17100000,4700000,23300000,3600000,9.17,3,5,Rejected
100,20,Men,Single,student,OWN,Home Renovation,6800000,21200000,16,439,17100000,4700000,23300000,3600000,9.17,3,5,Rejected
101,20,Men,Single,student,OWN,Home Renovation,6800000,21200000,16,439,17100000,4700000,23300000,3600000,9.17,3,5,Rejected
102,31,Men,Single,employed,RENT,Medical,1100000,3800000,18,387,1300000,1200000,3800000,1600000,3.23,17,2,Rejected
103,38,Men,Single,student,OWN,Business,8700000,28300000,8,402,20400000,13600000,27900000,10200000,2.27,1,5,Rejected
104,63,Women,Married,student,MORTGAGE,Medical,2000000,8000000,6,837,5100000,2600000,3900000,2900000,3.91,11,3,Approved
105,20,Men,Married,student,OWN,Home Renovation,9800000,37600000,10,641,24100000,0,23400000,7600000,1.0,16,3,Approved
106,60,Men,Married,student,MORTGAGE,Home Renovation,5700000,21100000,18,489,500000,4300000,12500000,6000000,7.14,11,2,Rejected
107,49,Men,Married,self employed,OWN,Education,8800000,20700000,18,540,19200000,3200000,22400000,12700000,2.45,4,2,Rejected
108,49,Men,Married,self employed,OWN,Education,8800000,20700000,18,540,19200000,3200000,22400000,12700000,2.45,4,2,Rejected
109,49,Men,Married,self employed,OWN,Education,8800000,20700000,18,540,19200000,3200000,22400000,12700000,2.45,4,2,Rejected
110,70,Women,Married,self employed,MORTGAGE,Education,3800000,8900000,4,844,9100000,3500000,13100000,4700000,6.54,17,3,Approved
111,54,Women,Married,self employed,MORTGAGE,Medical,1000000,2000000,10,366,1200000,400000,3200000,1300000,1.44,3,3,Rejected
112,31,Men,Single,self employed,OWN,Vehicle,300000,1100000,2,300,100000,500000,700000,400000,2.15,16,1,Approved
113,64,Women,Married,self employed,RENT,Business,6600000,15000000,18,470,1200000,4800000,18200000,7000000,2.82,10,4,Rejected
114,64,Women,Married,self employed,RENT,Business,6600000,15000000,18,470,1200000,4800000,18200000,7000000,2.82,10,4,Rejected
115,64,Women,Married,self employed,RENT,Business,6600000,15000000,18,470,1200000,4800000,18200000,7000000,2.82,10,4,Rejected
116,64,Women,Married,self employed,RENT,Business,6600000,15000000,18,470,1200000,4800000,18200000,7000000,2.82,10,4,Rejected
117,45,Men,Married,self employed,MORTGAGE,Vehicle,8700000,25000000,20,861,14700000,8500000,23200000,7300000,9.8,18,5,Approved
118,68,Women,Single,employed,MORTGAGE,Personal,9400000,29400000,12,562,25900000,15200000,36400000,7100000,8.3,18,3,Approved
119,25,Women,Married,student,OWN,Education,4400000,10800000,14,463,2400000,4800000,13800000,4700000,2.54,7,1,Rejected
120,25,Women,Married,student,OWN,Education,4400000,10800000,14,463,2400000,4800000,13800000,4700000,2.54,7,1,Rejected
121,75,Men,Single,employed,OWN,Education,400000,900000,12,478,700000,100000,1200000,100000,7.04,10,4,Rejected
122,75,Men,Single,employed,OWN,Education,400000,900000,12,478,700000,100000,1200000,100000,7.04,10,4,Rejected
123,75,Men,Single,employed,OWN,Education,400000,900000,12,478,700000,100000,1200000,100000,7.04,10,4,Rejected
124,75,Men,Single,employed,OWN,Education,400000,900000,12,478,700000,100000,1200000,100000,7.04,10,4,Rejected
125,24,Women,Married,self employed,RENT,Medical,300000,1100000,2,702,300000,200000,500000,200000,4.56,6,2,Approved
126,66,Men,Single,student,OWN,Medical,4300000,12900000,20,618,11400000,3600000,11400000,2400000,8.26,15,4,Approved
127,56,Men,Single,student,RENT,Education,1600000,4500000,12,633,700000,1700000,4100000,1900000,5.17,8,2,Approved
128,35,Women,Single,employed,RENT,Home Renovation,4200000,9700000,16,841,7800000,300000,16700000,5100000,4.13,17,1,Approved
129,71,Women,Single,self employed,RENT,Medical,9000000,18100000,12,764,600000,16500000,20800000,11600000,6.79,8,1,Approved
130,23,Men,Married,student,RENT,Business,2700000,10600000,6,591,1300000,2700000,9900000,1800000,2.79,0,1,Approved
131,40,Men,Married,self employed,MORTGAGE,Personal,9700000,35900000,2,719,19600000,7600000,20400000,10900000,4.54,8,2,Approved
132,73,Men,Married,student,RENT,Vehicle,300000,1100000,8,778,800000,200000,900000,100000,2.42,20,3,Approved
133,39,Women,Single,employed,MORTGAGE,Medical,7400000,18200000,14,302,5600000,3100000,17900000,5000000,3.94,18,5,Rejected
134,39,Women,Single,employed,MORTGAGE,Medical,7400000,18200000,14,302,5600000,3100000,17900000,5000000,3.94,18,5,Rejected
135,39,Women,Single,employed,MORTGAGE,Medical,7400000,18200000,14,302,5600000,3100000,17900000,5000000,3.94,18,5,Rejected
136,43,Women,Married,employed,OWN,Vehicle,7100000,19700000,8,502,7300000,5600000,25300000,9800000,4.67,14,3,Rejected
137,52,Women,Single,student,OWN,Medical,7300000,22100000,18,879,19500000,10600000,19300000,9800000,9.33,8,1,Approved
138,68,Men,Married,student,RENT,Vehicle,8400000,23400000,14,437,15400000,5800000,33400000,8100000,6.94,0,2,Rejected
139,68,Men,Married,student,RENT,Vehicle,8400000,23400000,14,437,15400000,5800000,33400000,8100000,6.94,0,2,Rejected
140,68,Men,Married,student,RENT,Vehicle,8400000,23400000,14,437,15400000,5800000,33400000,8100000,6.94,0,2,Rejected
141,69,Women,Single,employed,OWN,Medical,3300000,10800000,12,797,600000,6000000,7700000,3300000,5.43,14,1,Approved
142,61,Women,Married,self employed,OWN,Personal,5800000,23200000,18,456,16100000,4200000,22600000,7500000,7.63,9,4,Rejected
143,61,Women,Married,self employed,OWN,Personal,5800000,23200000,18,456,16100000,4200000,22600000,7500000,7.63,9,4,Rejected
144,67,Women,Single,student,RENT,Vehicle,600000,1600000,6,647,1500000,600000,1500000,700000,7.72,13,1,Approved
145,29,Men,Married,self employed,RENT,Business,9100000,32900000,2,717,2200000,2000000,23600000,5900000,5.68,7,1,Approved
146,72,Women,Single,student,OWN,Education,900000,2300000,16,545,100000,200000,2700000,800000,3.36,13,2,Rejected
147,72,Women,Single,student,OWN,Education,900000,2300000,16,545,100000,200000,2700000,800000,3.36,13,2,Rejected
148,72,Women,Single,student,OWN,Education,900000,2300000,16,545,100000,200000,2700000,800000,3.36,13,2,Rejected
149,52,Men,Married,student,RENT,Education,8500000,32900000,10,570,5100000,6200000,20500000,5500000,0.87,11,3,Approved
150,73,Women,Single,employed,OWN,Personal,9000000,18700000,18,865,26800000,0,20900000,11300000,5.42,1,1,Approved
151,80,Men,Married,student,MORTGAGE,Home Renovation,7000000,19500000,14,719,12200000,10300000,18200000,10200000,7.35,10,4,Approved
152,35,Women,Married,student,OWN,Vehicle,200000,600000,16,821,400000,100000,500000,100000,4.17,17,4,Approved
153,70,Men,Married,student,MORTGAGE,Medical,400000,800000,10,859,900000,500000,800000,200000,9.56,0,2,Approved
154,78,Men,Single,employed,MORTGAGE,Personal,5100000,18200000,10,395,100000,8000000,15500000,6300000,9.55,11,3,Rejected
155,78,Men,Single,employed,MORTGAGE,Personal,5100000,18200000,10,395,100000,8000000,15500000,6300000,9.55,11,3,Rejected
156,78,Men,Single,employed,MORTGAGE,Personal,5100000,18200000,10,395,100000,8000000,15500000,6300000,9.55,11,3,Rejected
157,22,Men,Married,employed,OWN,Education,700000,2600000,12,429,1600000,1300000,2700000,800000,2.71,5,4,Rejected
158,22,Men,Married,employed,OWN,Education,700000,2600000,12,429,1600000,1300000,2700000,800000,2.71,5,4,Rejected
159,22,Men,Married,employed,OWN,Education,700000,2600000,12,429,1600000,1300000,2700000,800000,2.71,5,4,Rejected
160,29,Men,Single,employed,MORTGAGE,Personal,400000,1200000,12,861,200000,600000,1100000,200000,7.95,20,2,Approved
161,51,Women,Married,self employed,MORTGAGE,Medical,9500000,20800000,14,565,15100000,11900000,33900000,13400000,2.93,4,4,Approved
162,32,Men,Married,self employed,OWN,Vehicle,8800000,22600000,10,357,7900000,8600000,18200000,4900000,2.66,13,3,Rejected
163,32,Men,Married,self employed,OWN,Vehicle,8800000,22600000,10,357,7900000,8600000,18200000,4900000,2.66,13,3,Rejected
164,32,Men,Married,self employed,OWN,Vehicle,8800000,22600000,10,357,7900000,8600000,18200000,4900000,2.66,13,3,Rejected
165,57,Men,Single,student,OWN,Medical,1800000,3600000,18,465,600000,500000,5400000,2600000,2.68,18,2,Rejected
166,64,Men,Married,student,MORTGAGE,Education,6800000,13900000,8,479,11700000,9100000,25700000,9600000,2.0,16,4,Rejected
167,64,Men,Married,student,MORTGAGE,Education,6800000,13900000,8,479,11700000,9100000,25700000,9600000,2.0,16,4,Rejected
168,55,Women,Married,employed,MORTGAGE,Education,1500000,5500000,16,717,2100000,800000,4400000,1300000,4.57,13,4,Approved
169,38,Women,Single,self employed,OWN,Business,1600000,5500000,12,425,600000,800000,5400000,900000,1.08,5,4,Rejected
170,49,Men,Married,self employed,OWN,Medical,4600000,16700000,2,786,200000,5900000,13900000,6100000,9.73,14,4,Approved
171,74,Men,Married,student,OWN,Home Renovation,2200000,6700000,6,382,4400000,1300000,8600000,1100000,1.69,10,4,Rejected
172,38,Men,Single,student,OWN,Education,2900000,8500000,12,564,1000000,3100000,7500000,1800000,9.6,1,1,Approved
173,48,Men,Single,student,MORTGAGE,Home Renovation,2500000,9400000,10,727,6600000,4100000,9500000,3300000,5.72,7,1,Approved
174,73,Women,Married,employed,RENT,Personal,3600000,7500000,6,894,1100000,6500000,7400000,2800000,1.76,18,1,Approved
175,29,Men,Married,student,OWN,Medical,5500000,16700000,18,829,5500000,1300000,12800000,5900000,10.0,17,4,Approved
176,63,Men,Single,self employed,RENT,Personal,6600000,17400000,20,506,2600000,10000000,25900000,7200000,6.13,11,4,Rejected
177,67,Men,Married,student,RENT,Personal,8600000,32100000,6,802,9400000,16700000,24500000,9800000,4.02,11,1,Approved
178,71,Women,Married,self employed,RENT,Personal,600000,1500000,14,543,300000,900000,2100000,300000,0.18,10,2,Rejected
179,71,Women,Married,self employed,RENT,Personal,600000,1500000,14,543,300000,900000,2100000,300000,0.18,10,2,Rejected
180,49,Women,Single,student,RENT,Business,1400000,3200000,20,772,2400000,900000,5100000,1600000,9.33,16,1,Approved
181,39,Men,Married,employed,MORTGAGE,Business,4000000,11100000,12,572,9700000,100000,12500000,2400000,5.49,10,2,Approved
182,69,Women,Single,student,MORTGAGE,Medical,4900000,11900000,16,709,14600000,900000,18500000,3800000,9.36,6,4,Approved
183,22,Women,Single,student,OWN,Education,5200000,19300000,8,481,14300000,9500000,18800000,4200000,9.88,4,4,Rejected
184,60,Men,Single,student,OWN,Business,8900000,28800000,6,772,13600000,5500000,20400000,8400000,3.61,0,1,Approved
185,23,Women,Single,self employed,MORTGAGE,Personal,6500000,20600000,2,306,15900000,1900000,18100000,3200000,1.71,0,3,Approved
186,35,Women,Single,student,OWN,Vehicle,1300000,4500000,6,415,0,900000,2900000,1200000,5.76,7,5,Rejected
187,35,Women,Single,student,OWN,Vehicle,1300000,4500000,6,415,0,900000,2900000,1200000,5.76,7,5,Rejected
188,35,Women,Single,student,OWN,Vehicle,1300000,4500000,6,415,0,900000,2900000,1200000,5.76,7,5,Rejected
189,74,Men,Married,student,OWN,Education,9400000,35000000,16,548,18200000,4400000,36100000,4800000,4.54,20,1,Rejected
190,74,Men,Married,student,OWN,Education,9400000,35000000,16,548,18200000,4400000,36100000,4800000,4.54,20,1,Rejected
191,31,Women,Married,student,OWN,Vehicle,5000000,11200000,8,701,9100000,500000,14000000,4600000,2.24,2,5,Approved
192,74,Women,Married,self employed,RENT,Medical,3000000,7700000,12,890,4700000,4300000,8400000,2100000,5.86,1,3,Approved
193,46,Women,Single,student,RENT,Medical,9900000,33300000,6,364,5300000,18700000,27800000,8300000,2.46,20,4,Rejected
194,46,Women,Single,student,RENT,Medical,9900000,33300000,6,364,5300000,18700000,27800000,8300000,2.46,20,4,Rejected
195,36,Women,Single,student,RENT,Personal,700000,1300000,20,704,1600000,0,2200000,600000,0.74,8,1,Approved
196,41,Men,Single,employed,RENT,Medical,4000000,10600000,10,318,1500000,5100000,8000000,4900000,4.19,6,4,Rejected
197,43,Men,Married,employed,RENT,Medical,3100000,9600000,2,761,5800000,1800000,10400000,4200000,1.29,14,2,Approved
198,40,Men,Married,self employed,RENT,Business,4500000,15100000,6,693,3700000,1500000,17800000,6000000,5.41,10,3,Approved
199,55,Men,Married,employed,RENT,Business,9700000,20600000,16,524,24200000,11100000,27400000,6100000,8.28,7,4,Rejected
200,55,Men,Married,employed,RENT,Business,9700000,20600000,16,524,24200000,11100000,27400000,6100000,8.28,7,4,Rejected
201,55,Men,Married,employed,RENT,Business,9700000,20600000,16,524,24200000,11100000,27400000,6100000,8.28,7,4,Rejected
202,43,Men,Single,student,OWN,Personal,2000000,5300000,10,681,4900000,1400000,4300000,2900000,7.05,7,5,Approved
203,60,Women,Single,student,RENT,Education,8100000,22300000,18,737,22300000,12600000,27000000,7300000,2.35,0,5,Approved
204,44,Men,Married,student,MORTGAGE,Education,5700000,15900000,16,638,100000,9500000,16300000,4500000,0.45,18,1,Approved
205,30,Men,Single,employed,RENT,Personal,5800000,12800000,2,656,500000,5000000,16000000,2800000,6.87,9,2,Approved
206,73,Men,Married,employed,MORTGAGE,Education,1800000,6500000,6,540,2500000,3200000,5000000,1100000,5.82,19,3,Rejected
207,74,Women,Single,employed,OWN,Vehicle,9100000,35200000,6,341,1000000,300000,23100000,8200000,5.94,6,1,Rejected
208,74,Women,Single,employed,OWN,Vehicle,9100000,35200000,6,341,1000000,300000,23100000,8200000,5.94,6,1,Rejected
209,74,Women,Single,employed,OWN,Vehicle,9100000,35200000,6,341,1000000,300000,23100000,8200000,5.94,6,1,Rejected
210,29,Men,Single,self employed,RENT,Education,4800000,17500000,2,371,11700000,6800000,18700000,3500000,6.97,15,2,Approved
211,40,Women,Married,employed,MORTGAGE,Home Renovation,3800000,10500000,12,886,4000000,500000,14900000,2300000,7.21,4,5,Approved
212,61,Women,Single,self employed,MORTGAGE,Personal,1900000,4100000,18,801,400000,800000,4800000,1200000,0.48,16,5,Approved
213,67,Men,Married,employed,OWN,Vehicle,3600000,9500000,16,748,7700000,2400000,9700000,2600000,9.09,14,1,Approved
214,65,Women,Married,self employed,MORTGAGE,Personal,7400000,28200000,8,376,21900000,5000000,17400000,5200000,3.71,18,1,Rejected
215,50,Women,Single,employed,RENT,Home Renovation,6600000,14300000,8,371,10800000,9500000,18500000,7400000,9.16,2,4,Rejected
216,76,Women,Single,self employed,RENT,Medical,1800000,5300000,6,826,4500000,700000,6500000,1300000,9.78,4,1,Approved
217,75,Women,Married,self employed,MORTGAGE,Medical,9200000,27200000,12,873,4500000,1800000,33800000,11400000,8.21,10,2,Approved
218,54,Women,Married,student,RENT,Education,2400000,8600000,8,309,500000,600000,5700000,2800000,7.03,8,5,Rejected
219,37,Women,Married,employed,MORTGAGE,Home Renovation,5600000,13300000,20,869,3300000,7500000,20000000,6500000,3.27,13,5,Approved
220,74,Women,Married,employed,MORTGAGE,Business,3800000,13900000,12,534,4700000,2900000,8200000,2800000,5.33,14,1,Rejected
